iter	Passed	Remaining
0	4	488
1	11	578
2	15	506
3	18	449
4	24	469
5	28	447
6	30	400
7	31	364
8	33	335
9	34	312
10	36	293
11	38	282
12	40	268
13	41	255
14	43	246
15	45	236
16	46	227
17	48	218
18	49	211
19	51	204
20	53	200
21	54	194
22	56	188
23	57	181
24	58	175
25	59	169
26	60	163
27	61	158
28	62	153
29	63	148
30	64	143
31	65	139
32	66	135
33	68	132
34	69	129
35	71	126
36	72	122
37	73	119
38	74	116
39	75	112
40	76	109
41	76	105
42	77	102
43	78	100
44	79	97
45	80	94
46	81	92
47	82	89
48	83	87
49	85	85
50	86	83
51	88	81
52	89	79
53	90	76
54	90	74
55	91	72
56	92	70
57	93	67
58	94	65
59	95	63
60	97	62
61	98	60
62	99	58
63	100	56
64	101	54
65	102	53
66	103	51
67	104	49
68	105	47
69	107	45
70	108	44
71	109	42
72	110	40
73	111	39
74	112	37
75	113	35
76	114	34
77	115	32
78	116	30
79	117	29
80	118	27
81	119	26
82	119	24
83	120	22
84	121	21
85	122	19
86	123	18
87	124	16
88	124	15
89	125	13
90	126	12
91	127	11
92	128	9
93	129	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
