iter	Passed	Remaining
0	134	134140
1	139	69406
2	140	46757
3	142	35471
4	144	28680
5	145	24126
6	147	20904
7	157	19480
8	159	17605
9	161	16014
10	163	14687
11	165	13647
12	167	12707
13	169	11936
14	171	11261
15	175	10776
16	176	10223
17	178	9725
18	180	9294
19	182	8928
20	184	8578
21	185	8234
22	186	7922
23	187	7642
24	189	7379
25	190	7132
26	191	6901
27	192	6689
28	193	6491
29	196	6349
30	197	6183
31	199	6038
32	201	5890
33	202	5744
34	203	5608
35	204	5479
36	205	5354
37	206	5238
38	210	5192
39	212	5093
40	213	5000
41	215	4926
42	217	4836
43	218	4749
44	219	4665
45	220	4582
46	222	4505
47	224	4449
48	226	4390
49	227	4327
50	229	4269
51	231	4213
52	232	4151
53	233	4092
54	234	4034
55	236	3980
56	237	3925
57	239	3888
58	241	3846
59	243	3807
60	244	3765
61	246	3722
62	247	3680
63	249	3646
64	250	3604
65	251	3562
66	252	3522
67	255	3508
68	257	3473
69	259	3441
70	260	3406
71	261	3369
72	262	3334
73	263	3300
74	264	3267
75	266	3234
76	267	3205
77	271	3208
78	272	3182
79	274	3160
80	276	3133
81	277	3105
82	277	3071
83	279	3043
84	280	3017
85	281	2992
86	282	2966
87	286	2965
88	287	2944
89	289	2925
90	291	2907
91	292	2884
92	293	2860
93	294	2838
94	295	2815
95	296	2793
96	297	2771
97	301	2770
98	302	2754
99	304	2736
100	306	2723
101	307	2704
102	308	2685
103	309	2667
104	310	2648
105	311	2630
106	313	2613
107	314	2595
108	317	2591
109	318	2576
110	319	2561
111	320	2544
112	322	2528
113	323	2511
114	324	2495
115	325	2481
116	326	2464
117	327	2449
118	328	2435
119	330	2424
120	331	2411
121	333	2396
122	334	2384
123	336	2376
124	337	2365
125	339	2353
126	340	2340
127	342	2330
128	344	2324
129	345	2312
130	346	2300
131	347	2287
132	349	2275
133	350	2264
134	351	2253
135	352	2242
136	356	2243
137	357	2234
138	358	2223
139	360	2211
140	361	2200
141	361	2186
142	362	2175
143	364	2164
144	365	2154
145	366	2143
146	367	2134
147	371	2138
148	372	2130
149	374	2123
150	376	2114
151	377	2104
152	378	2094
153	379	2084
154	380	2076
155	382	2068
156	385	2072
157	387	2064
158	388	2057
159	390	2051
160	391	2040
161	392	2031
162	393	2022
163	395	2015
164	396	2006
165	397	1997
166	398	1989
167	401	1990
168	403	1983
169	404	1975
170	405	1967
171	407	1959
172	408	1951
173	409	1943
174	410	1936
175	412	1929
176	413	1920
177	414	1912
178	416	1910
179	418	1906
180	420	1900
181	421	1894
182	422	1887
183	424	1882
184	425	1876
185	427	1868
186	428	1861
187	431	1861
188	432	1856
189	434	1851
190	435	1846
191	437	1839
192	438	1832
193	440	1828
194	441	1821
195	442	1815
196	443	1808
197	447	1810
198	448	1806
199	449	1799
200	451	1792
201	452	1786
202	453	1780
203	454	1774
204	455	1768
205	456	1761
206	458	1755
207	459	1749
208	463	1752
209	464	1747
210	466	1744
211	468	1740
212	470	1736
213	471	1731
214	473	1729
215	477	1731
216	479	1729
217	480	1724
218	482	1721
219	484	1717
220	486	1713
221	488	1712
222	490	1707
223	492	1704
224	493	1700
225	495	1696
226	497	1692
227	498	1688
228	502	1690
229	503	1685
230	507	1688
231	508	1684
232	510	1681
233	512	1676
234	513	1672
235	515	1667
236	516	1663
237	518	1660
238	520	1656
239	524	1660
240	525	1656
241	527	1652
242	528	1647
243	529	1641
244	531	1636
245	532	1631
246	533	1625
247	534	1621
248	535	1615
249	539	1617
250	540	1614
251	542	1609
252	543	1603
253	544	1598
254	545	1593
255	546	1588
256	547	1583
257	548	1578
258	550	1573
259	551	1568
260	555	1572
261	556	1568
262	558	1564
263	559	1559
264	560	1554
265	561	1550
266	562	1545
267	564	1541
268	565	1536
269	566	1532
270	568	1528
271	569	1525
272	571	1522
273	572	1517
274	573	1513
275	575	1508
276	576	1503
277	577	1499
278	578	1495
279	579	1490
280	584	1494
281	585	1490
282	586	1486
283	587	1481
284	589	1477
285	590	1473
286	591	1470
287	593	1466
288	594	1463
289	601	1472
290	602	1468
291	604	1464
292	605	1461
293	607	1457
294	608	1453
295	609	1449
296	610	1445
297	613	1444
298	614	1441
299	616	1438
300	617	1434
301	618	1430
302	619	1425
303	621	1422
304	622	1418
305	623	1414
306	624	1410
307	629	1414
308	630	1410
309	632	1406
310	633	1402
311	634	1398
312	635	1394
313	636	1390
314	637	1386
315	639	1384
316	642	1385
317	644	1381
